,title,url,time,Update_dt,trd_dt
52,"한투운용, 월배당 솔랙티브 ETF 출시",https://biz.chosun.com/stock/stock_general/2023/07/10/QZUMIIMW2ZGJVFWZJJZF5XWMMU/?utm_source=naver&utm_medium=original&utm_campaign=biz,1일 전,2023-07-11 11:13:42.235668,20230710
53,"한투운용, 자산배분·인컴형 월배당 ETF 출시",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202307100845466960903,1일 전,2023-07-11 11:13:42.235668,20230710
54,"한투운용, 세번째 월배당 ETF 출시…“글로벌 고배당 ETF에 선별 투자”",https://www.etoday.co.kr/news/view/2264410,1일 전,2023-07-11 11:13:42.235668,20230710
55,"한투운용, ACE 글로벌인컴TOP10 SOLACTIVE ETF 출시",http://www.enewstoday.co.kr/news/articleView.html?idxno=2017559,1일 전,2023-07-11 11:13:42.235668,20230710
56,"한투운용, ACE 글로벌인컴TOP10 SOLACTIVE ETF 출시",http://news.mt.co.kr/mtview.php?no=2023071008305785167,1일 전,2023-07-11 11:13:42.235668,20230710
57,[이번주 증시 캘린더] 와이랩·센서뷰 공모주 청약…필에너지 코스닥 상장,https://www.sedaily.com/NewsView/29S2RJFEK2,1일 전,2023-07-11 11:13:42.235668,20230710
58,코스피 박스권 길어지자… 한달 새 4000억 몰려간 곳,https://www.chosun.com/economy/economy_general/2023/07/10/QHERBIFLVJCGBAZG66RW3NZ7IQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,1일 전,2023-07-11 11:13:42.235668,20230710
59,ETF 100조 시대… “미국 주식·2차전지·반도체 투자하세요” [마이머니],http://www.segye.com/content/html/2023/07/09/20230709512125.html?OutUrl=naver,1일 전,2023-07-11 11:13:42.235668,20230710
60,"""땡큐 에코프로"" 2차전지 ETF 수익률 상위 싹쓸이[펀드와치]",http://www.edaily.co.kr/news/newspath.asp?newsid=01154566635672880,2일 전,2023-07-11 11:13:42.454366,20230709
61,"“여의도 사회초년생은 어떻게 투자할까?”···한투운용, ‘요즘투자’ 이벤트",https://www.mk.co.kr/article/10779831,2일 전,2023-07-11 11:13:42.454366,20230709
62,[증권소식] 상반기 의무보유등록 해제 17억주/해외 주식 및 채권형 ETF 3종 상장/NH증권. 해외 공시 번역·요약 서비스 등,https://www.asiatime.co.kr/article/20230707500336,3일 전,2023-07-11 11:13:42.454366,20230708
63,"거래소, 해외 주식·채권형 ETF 3종목 신규 상장",https://www.dailian.co.kr/news/view/1251178/?sc=Naver,3일 전,2023-07-11 11:13:42.454366,20230708
64,"2차전지, 상반기 ETF 상승 주도…하반기는?",http://www.ftoday.co.kr/news/articleView.html?idxno=305480,3일 전,2023-07-11 11:13:42.454366,20230708
65,"한국거래소, 해외주식·채권형 ETF 3종목 신규 상장",https://www.ceoscoredaily.com/page/view/2023070716012098427,3일 전,2023-07-11 11:13:42.454366,20230708
66,"[증시신상품] 거래소, 해외 주식 및 채권형 ETF 3종 신규 상장",https://www.yna.co.kr/view/AKR20230707116100002?input=1195m,3일 전,2023-07-11 11:13:42.454366,20230708
67,"한국거래소, 해외 주식 및 채권형 ETF 3종목 코스피 신규 상장",https://news.mtn.co.kr/news-detail/2023070715252154171,3일 전,2023-07-11 11:13:42.454366,20230708
68,"한국거래소, 해외 주식·채권형 ETF 3종목 신규상장",http://www.edaily.co.kr/news/newspath.asp?newsid=02243526635672224,3일 전,2023-07-11 11:13:42.454366,20230708
69,"거래소, 국내 첫 ‘생성형 AI 투자’ 등 ETF 3종 신규상장 [투자360]",http://news.heraldcorp.com/view.php?ud=20230707000473,3일 전,2023-07-11 11:13:42.454366,20230708
70,테슬라 고공행진에 ETF도 집중…하반기도 괜찮을까,http://www.inews24.com/view/1610373,3일 전,2023-07-11 11:13:42.641824,20230708
71,"ETF 자금, 신흥국으로 몰린다",https://www.ebn.co.kr/news/view/1583861/?sc=Naver,3일 전,2023-07-11 11:13:42.641824,20230708
72,"에이스 된 한투운용, 테슬라ETF 인기 행진… 수익률 1위 찍었다",http://moneys.mt.co.kr/news/mwView.php?no=2023070616575131593,4일 전,2023-07-11 11:13:42.641824,20230707
73,나스닥보다 돈 더 몰린 '차이나 ETF',https://www.mk.co.kr/article/10778503,4일 전,2023-07-11 11:13:42.641824,20230707
74,[오늘의 증권가 소식] 유진투자증권 外,http://www.ftoday.co.kr/news/articleView.html?idxno=305420,4일 전,2023-07-11 11:13:42.641824,20230707
75,질주하는 전기차…테슬라·엔비디아 담은 ETF도 ‘훨훨’,https://www.etoday.co.kr/news/view/2263795,4일 전,2023-07-11 11:13:42.641824,20230707
76,"한투운용, 유튜브 콘텐츠 '요즘투자' 시청 이벤트",https://www.thekpm.com/news/articleView.html?idxno=162493,4일 전,2023-07-11 11:13:42.641824,20230707
77,중국에 베팅하는 한국인들…수천억원 쏟아부었다는데,https://www.mk.co.kr/article/10778186,4일 전,2023-07-11 11:13:42.641824,20230707
78,"""테슬라밸류체인 ETF 6월 평균 수익률 1위""",http://www.joseilbo.com/news/news_read.php?uid=491575&class=53&grp=,4일 전,2023-07-11 11:13:42.641824,20230707
79,"한투운용, 유튜브 콘텐츠 '요즘투자' 시청 인증 이벤트",https://biz.newdaily.co.kr/site/data/html/2023/07/06/2023070600181.html,4일 전,2023-07-11 11:13:42.641824,20230707
80,6월 ETF 순자산 100조 돌파…‘테슬라밸류체인’ 수익률 19%,https://www.etoday.co.kr/news/view/2263742,4일 전,2023-07-11 11:13:42.860521,20230707
81,"한투운용, 유튜브 콘텐츠 '요즘투자' 시청 이벤트",https://www.fetv.co.kr/news/article.html?no=142772,4일 전,2023-07-11 11:13:42.860521,20230707
82,"한투운용, 유튜브 콘텐츠 '요즘투자' 시청 인증 이벤트",http://www.shinailbo.co.kr/news/articleView.html?idxno=1728273,5일 전,2023-07-11 11:13:42.860521,20230706
