,ACE 200,ACE 200TR,ACE Fn성장소비주도주,ACE Gloabal Luxury&Hotel Index,ACE 골드선물 레버리지(합성 H),ACE 국고채3년,ACE 국채선물10년인버스,ACE 국채선물3년인버스,ACE 단기통안채,ACE 러시아MSCI(합성),ACE 레버리지,ACE 멕시코MSCI(합성),ACE 미국IT인터넷S&P(합성 H),ACE 미국WideMoat가치주,ACE 미국다우존스리츠(합성 H),ACE 밸류대형,ACE 베트남VN30(합성),ACE 삼성그룹동일가중,ACE 삼성그룹섹터가중,ACE 스마트로우볼,ACE 스마트모멘텀,ACE 스마트밸류,ACE 스마트퀄리티,ACE 스마트하이베타,ACE 싱가포르리츠,ACE 싱가포르리츠채권혼합모닝스타,ACE 아시아TOP50S&P,ACE 인도네시아MSCI(합성),ACE 인버스,ACE 일본Nikkei225(H),ACE 일본TOPIX레버리지(H),ACE 일본TOPIX인버스(합성 H),ACE 중국본토CSI300,ACE 중국본토CSI300레버리지(합성),ACE 중장기국공채액티브,ACE 코스닥(합성),ACE 코스피,ACE 필리핀MSCI(합성)
253,43992.67,26206.91,7174.65,2184.26569,18409.04,107290.15,93683.61,99128.19,100127.83,26392.52,11384.73,8893.08,18847.75,14121.66,75600.21,10343.9,16120.45,17499.79,17521.71,17898.36,18850.29,15987.8,20090.83,15595.73,11501.55,9987.16,15773.67,9029.28,4666.73,18413.42,19217.86,4724.22,32754.08,6187.79,102527.15,14058.3,32197.27,14286.42
254,43655.73,26006.87,7285.13,2186.58586,18716.53,107260.38,93845.21,99146.83,100129.03,26686.96,11162.3,8902.36,18621.53,14199.7,74520.9,10247.18,16372.56,17450.99,17481.55,17761.51,18700.09,15881.86,19936.75,15459.88,11519.46,9977.82,15836.41,9270.83,4716.61,18415.26,19220.55,4724.1,32603.24,6110.53,102448.93,14016.31,31959.69,14359.05
255,43908.91,26157.81,7414.45,2164.07687,18582.23,107276.47,93804.84,99139.49,100130.39,26854.55,11258.17,8858.69,18818.68,14208.79,74530.73,10317.19,16383.03,17629.83,17588.31,17893.56,18806.01,15999.98,20078.27,15564.14,11538.43,9986.12,15870.51,9202.5,4703.07,18437.15,19214.07,4716.39,33415.26,6472.88,102471.03,14093.84,32182.84,14163.37
256,43852.67,26124.71,7480.51,2172.53271,18796.75,107235.5,93931.47,99194.15,100131.62,26822.83,11278.37,8815.0,18874.81,14204.99,75412.62,10324.73,16353.6,17705.79,17592.57,17878.42,18773.96,15982.53,20055.3,15546.6,11503.88,9969.58,15951.56,9261.06,4689.79,18626.13,19340.88,4699.95,33320.89,6433.57,102408.74,14110.26,32196.57,14139.59
257,42899.61,25557.47,7400.09,2140.60302,18726.77,107287.22,93892.43,99143.2,100135.18,27125.75,10756.67,8894.92,18738.15,14303.05,75733.62,10098.88,16449.0,17393.39,17296.95,17493.77,18363.82,15630.74,19620.98,15216.19,11642.72,10009.34,16005.26,9277.86,4806.6,18807.48,19568.58,4677.35,32738.77,6214.27,102458.1,13882.28,31546.3,14230.36
258,41883.14,24952.73,7243.77,2140.60302,18285.45,107309.56,93726.09,99126.89,100136.7,26600.17,10232.9,8886.15,18584.15,14217.89,76626.09,9889.83,16704.14,16870.02,16689.44,17095.08,17886.3,15324.27,19160.47,14889.94,11740.66,10047.56,16025.67,9137.69,4922.24,18663.82,19161.18,4718.66,32705.09,6196.61,102519.43,13598.48,30810.51,14250.91
259,42999.13,25615.65,7366.26,2137.73471,18283.02,107306.93,93717.65,99143.48,100137.99,26790.81,10838.44,9039.97,18583.13,14205.22,76616.89,10217.27,16538.16,17212.73,17094.52,17487.22,18337.26,15722.0,19639.11,15348.7,11786.55,10060.48,16254.57,9256.97,4765.5,18479.5,18923.38,4746.66,33005.56,6309.53,102525.12,13785.7,31619.17,14146.93
260,43264.79,25774.23,7458.66,2145.8274,18488.33,107327.14,93622.21,99137.07,100139.11,26572.7,10932.04,8864.61,18907.92,14303.92,76344.87,10293.73,15576.03,17177.75,17144.73,17574.42,18451.65,15823.68,19770.82,15457.18,11902.96,10098.23,16483.13,9188.36,4751.21,18748.65,19198.54,4720.06,32569.53,6140.56,102570.98,14071.42,31840.01,14089.86
261,43909.98,26157.32,7493.54,2171.6789,19013.38,107332.9,93643.77,99128.67,100140.43,26841.12,11250.31,8805.08,19387.88,14314.18,77834.87,10487.62,15669.05,17352.96,17309.27,17827.97,18657.64,16086.49,20078.28,15700.76,11877.97,10092.38,16747.54,9391.41,4682.98,18663.71,19032.26,4735.77,32775.92,6213.82,102573.4,14124.86,32321.49,13945.49
262,43586.45,25965.21,7650.08,2148.1188,18994.09,107246.19,94037.66,99229.64,100143.6,26293.52,11094.02,8679.41,19440.08,14304.12,77629.04,10315.91,16228.86,17247.92,17477.45,17699.43,18535.49,15948.22,19974.22,15599.13,11853.39,10059.03,16906.13,9364.78,4714.94,18818.69,19244.37,4707.26,33375.72,6459.07,102405.14,14103.8,32112.98,14002.21
